'guo'po'shang'ru'ci 国破尚如此
'guo'shang'man'di'dou'kan'ku 国殇满地都堪哭
'guo'shi'ma'ge'nan'gua'dian 裹尸马革南瓜店
'guo'ti'zao'cheng'ji'xie'ti 国体造成机械体
'guo'tu'he'dang'quan'jie'fang 国土合当全解放
'guo'wu'yi'shan 过武夷山
'guo'xiang'lu'shan 过香炉山
'guo'yun'geng'kan'ke 国运更坎坷
'hai'bin'he'jia'mei 海滨禾稼美
'hai'kan'ren'qiao'duo'tian'gong 还看人巧夺天工
'hai'nan'you'xiang'cao 海南有香草
'hai'niang'qian'zhong'jiu 海酿千钟酒
'hai'pan'ye'lin'yi'pian'qing 海畔椰林一片青
'hai'shang'yun'nong 海上云浓
'hai'tang'ying'hua'xiang'ying'hong 海棠樱花相映红
'hai'tian'liao'luo'xian'yun'qu 海天寥落闲云去
'hai'wai'feng'yan'bi'ri'yin 海外风烟蔽日阴
'hai'xiu'wang 还休忘
'hai'you'da'dao 还有大刀
'hai'you'hou'lai'ren 还有后来人
'hai'you'jing'sheng'bai'gu 还有精生白骨
'hai'zi'kui'lu'lu'yong'yong 还自愧碌碌庸庸
'han'jia'zi'di'jin'xiong'fei 汉家子弟尽雄飞
'han'jian'yuan'tao 汉奸远逃
'han'jiang'xue'liu'ri'xin'qing 寒江雪柳日新晴
'han'shui'dong'liu'shi'bu'hai 汉水东流逝不还
'han'xiu'cao 含羞草
'hang'zhou'za'yong 杭州杂咏
'hao'han'shen'qu'wei'qun'lie 好汉身躯为群裂
'hao'jin'min'gao'shi'ci'sheng 耗尽民膏是此声
'hao'miao'shui'dong'liu 浩渺水东流
'hao'zhao'ren'min 号召人民
'hao'zhong'jia'he'bu'huan'pin 好种佳禾不患贫
'he'ceng'wan'luan'xing'chang'le 何曾婉娈行长乐
'he'dang'qu'mo'bei 何当驱漠北
'he'dang'tong'yin'huang'long'fu 何当痛饮黄龙府
'he'dong'lao'guo'chun'jie'shi 和董老过春节诗
'he'feng'huan'zhang'xian'sheng'liu'shi'shou 贺冯焕章先生六十寿
'he'hua'qian'nian'wei'ren'gui 鹤化千年未忍归
'he'li'yin'quan'xian'sheng'yuan'yun 和李印泉先生原韵
'he'lin'lao'xian'yu'dao'zhong'yuan'yun 和林老咸榆道中原韵
'he'liu'hai'su'shi'shang'huang'shan'hua'zhan 贺刘海粟十上黄山画展
'he'ping'shu'gong'ye 和平树功业
'he'qian'ju'er'hou'lian 何前倨而后敛
'he'ren'zhu'yi'zai'shang'nong 何人注意在商农
'he'ri'zhao'hun'fan'gu'xiang 何日招魂返故乡
