'xian'ji'zhuan'yi'mei 酰基转移酶
'xian'li'ti 线粒体
'xian'li'ti'ding'wei'xin'hao 线粒体定位信号
'xian'wei'su 纤维素
'xian'wei'su'mei 纤维素酶
'xian'zhi'xing'he'suan'nei'qie'mei 限制性核酸内切酶
'xian'zhi'xing'nei'qie'mei 限制性内切酶
'xiang'dui'zhuan'yi'xing 相对专一性
'xiang'hu'zuo'yong'zu 相互作用组
'xiang'hu'zuo'yong'zu'xue 相互作用组学
'xiao'chu'fan'ying 消除反应
'xie'tong'xiao'ying 协同效应
'xin'hao'tai 信号肽
'xin'hao'tai'xu'lie 信号肽序列
'xin'hao'zhuan'dao'fu'he'wu 信号转导复合物
'xin'hao'zu 信号组
'xin'hao'zu'xue 信号组学
'xin'lin'zhi 心磷脂
'xin'zhi'dan'bai 锌指蛋白
'xin'zhi'jie'gou'yu 锌指结构域
'xing'ji'su 性激素
'xiu'fu'fu'he'wu 修复复合物
'xiu'fu'mei 修复酶
'xu'lie 序列
'ya'ji'jian'xiang'hu'zuo'yong 亚基间相互作用
'yan'hu'suo'suan'mei 延胡索酸酶
'yan'shen'yin'zi 延伸因子
'yang'hua 氧化
'yang'hua'huan'yuan'fan'ying 氧化还原反应
'yang'hua'huan'yuan'mei'fu'he'wu 氧化还原酶复合物
'yang'hua'lin'suan'hua 氧化磷酸化
'ye'huang'su 叶黄素
'ye'lv'ti 叶绿体
'ye'lv'ti'ding'wei'xin'hao 叶绿体定位信号
'ye'suan 叶酸
'yi'chun'tuo'qing'mei 乙醇脱氢酶
'yi'dan'bai'mei 胰蛋白酶
'yi'gou'hua'fan'ying 异构化反应
'yi'gou'mei'fu'he'wu 异构酶复合物
'yi'huang'tong 异黄酮
'yi'ma'tu'bian 移码突变
'yi'ning'meng'suan'tuo'qing'mei 异柠檬酸脱氢酶
'yi'ning'ru'dan'bai'mei 胰凝乳蛋白酶
'yi'quan'suan'xun'huan'ti 乙醛酸循环体
'yi'quan'tuo'qing'mei 乙醛脱氢酶
'yi'wei'tu'bian 易位突变
'yi'xian'hua 乙酰化
'yi'xian'hua'mei 乙酰化酶
'yi'xian'zhuan'yi'mei 乙酰转移酶
'yi'zhi'chang'shu 抑制常数
'yi'zhi'ji 抑制剂
'yi'zhi'yin'zi 抑制因子
'yin'wu 引物
'yin'wu'mei 引物酶
'ying'guang 荧光
'you'dao'mei 诱导酶
'you'si'fen'lie 有丝分裂
'yu'mi'huang'zhi 玉米黄质
'zai'sheng'yi'xue 再生医学
'zeng'qiang'zi'jie'he'dan'bai 增强子结合蛋白
'zeng'qiang'zi'tu'bian 增强子突变
'zhe'die 折叠
'zhe'die'tong 折叠桶
'zhe'tang 蔗糖
'zheng'xie'tong 正协同
'zhi'dan'bai 脂蛋白
'zhi'fa 脂筏
'zhi'fang'suan 脂肪酸
'zhi'fang'suan'he'cheng 脂肪酸合成
'zhi'hua'fan'ying 酯化反应
'zhi'shuang'ceng 脂双层
'zhi'xian'hua 脂酰化
'zhi'xian'zai'ti'dan'bai 脂酰载体蛋白
'zhi'zhi'zu 脂质组
'zhi'zhi'zu'xue 脂质组学
'zhong'xin'ti 中心体
'zhong'zhi'mi'ma'zi 终止密码子
'zhong'zhi'mi'ma'zi'tu'bian 终止密码子突变
'zhua'gou 抓钩
'zhuan'jiao 转角
'zhuan'lu 转录
'zhuan'lu'fu'he'wu 转录复合物
'zhuan'lu'tiao'kong 转录调控
'zhuan'lu'yin'zi 转录因子
'zhuan'lu'zu 转录组
'zhuan'lu'zu'xue 转录组学
'zhuan'quan'chun'mei 转醛醇酶
'zhuan'tong'chun'mei 转酮醇酶
'zhuan'yi'mei'fu'he'wu 转移酶复合物
'zhuan'yi'xing 专一性
'zhuan'yun'tai 转运肽
'zhuo'si'li 着丝粒
'zi'shi'tu'jing 自噬途径
'zi'you'ji'fan'ying 自由基反应
'zong'lv'xian'hua 棕榈酰化
'zu'an'suan'tuo'suo'mei 组氨酸脱羧酶
'zu'cheng'mei 组成酶
'zu'dan'bai 组蛋白
'zu'dan'bai'fan'su'hua 组蛋白泛素化
'zu'dan'bai'jia'ji'hua 组蛋白甲基化
'zu'dan'bai'lin'suan'hua 组蛋白磷酸化
'zu'dan'bai'xiu'shi 组蛋白修饰
'zu'dan'bai'yi'xian'hua 组蛋白乙酰化
'zu'zhi'chuan'gan'qi 组织传感器
'zu'zhi'gong'cheng 组织工程
'zu'zhi'xin'pian 组织芯片
'zui'da'fan'ying'su'lv 最大反应速率
