'an'gou 暗沟
'jie'ti'zhuang'die'he'bu'zhi 阶梯状叠合布置
'jie'xian'han'shui'lv 界限含水率
'jin'shi'zuo'yong 浸湿作用
'jing'ji'xing 经济性
'jing'zhou'leng'bu 井周冷补
'ju'an'zhi'lei 聚氨酯类
'ju'bing'dai 聚冰带
'ju'lv'yi'xi'jiao'ni'lei 聚氯乙烯胶泥类
'ju'xing'ban 矩形板
'ju'xing'ban'kuai 矩形板块
'jun'gong'yan'shou'guan'li 竣工验收管理
'jun'yun'zhi'cheng 均匀支承
'jun'zhi 均质
'kai'ji'pei 开级配
'kai'lie 开裂
'kang'bian'xing'neng'li 抗变形能力
'kang'dong'xing 抗冻性
'kang'dong'zhang'neng'li 抗冻胀能力
'kang'hua'gou'zao 抗滑构造
'kang'hua'neng'li 抗滑能力
'kang'hua'xing'neng 抗滑性能
'kang'la'qiang'du'gao'bu'qiang'cai'liao 抗拉强度高补强材料
'kang'mo'xing 抗磨性
'kang'pi'lao 抗疲劳
'kang'shui'sun'hai'neng'li 抗水损害能力
'ke'cao 刻槽
'ke'hen 刻痕
'ke'li'cai'liao 颗粒材料
'ke'li'han'liang 颗粒含量
'ke'su'zhuang'tai 可塑状态
'keng'cao 坑槽
'kong'xi'bi 孔隙比
'kong'xi'lv 孔隙率
'kong'xi'lv 空隙率
'kuai'su'lu 快速路
'kuan'du 宽度
'kuang'zha'dian'ceng 矿渣垫层
'kuang'zha'gui'suan'yan'shui'ni 矿渣硅酸盐水泥
'kuo'san'he'zai 扩散荷载
'kuo'san'he'zai'neng'li 扩散荷载能力
'kuo'san'ying'li 扩散应力
'la'cao 拉槽
'la'gan 拉杆
'la'ji'chu'li'gong'cheng 垃圾处理工程
'la'mao 拉毛
'leng'ban'gai'xing'li'qing'hun'he'liao 冷拌改性沥青混合料
'leng'ban'li'qing'hun'he'liao'mian'ceng 冷拌沥青混合料面层
'li'jing 粒径
'li'qing'biao'mian'chu'zhi'mian'ceng 沥青表面处治面层
'li'qing'feng'ceng 沥青封层
'li'qing'guan'ru'shi'mian'ceng 沥青贯入式面层
'li'qing'hun'ning'tu 沥青混凝土
'li'qing'lu'mian 沥青路面
'li'qing'lu'mian'jie'gou'zu'cheng'te'dian 沥青路面结构组成特点
'li'qing'lu'mian'mian'ceng'lei'xing 沥青路面面层类型
'li'qing'lu'mian'xiang'jie 沥青路面相接
'li'qing'wen'ding'sui'shi 沥青稳定碎石
'li'shi 砾石
'li'shi'tu 砾石土
'li'xue'shou'duan 力学手段
'lian'jie'ceng 连接层
'liang'zhi'tu 良质土
'lie'feng 裂缝
'lie'wen 裂纹
'lie'xi'shui 裂隙水
'lin'jie'gao'du 临界高度
'lin'jin'he'dao'hong'shui'wei 邻近河道洪水位
'lin'jin'qiao'liang 邻近桥梁
'liu'lei'tu 六类土
'liu'shui'chong'shua 流水冲刷
'liu'su'zhuang'tai 流塑状态
'liu'ti'zhuang'tai 流体状态
'lu'chuang'biao'gao 路床标高
'lu'chuang'tu 路床土
'lu'di 路堤
'lu'hao 炉号
'lu'ji 路基
