'jie'yi'wei'shi'xiong 节义为士雄
'jie'you'dao'lin'zi 结友到临淄
'jie'yu'gua'lou 嗟余寡陋
'jie'yu'xiao'zi 嗟予小子
'jin'dan'zai'gui'lu 今旦在鬼录
'jin'dan'zhan'kong'shang 今但湛空觞
'jin'fu'zai'he'chu 今复在何处
'jin'kuai'sui'wei 进蒉虽微
'jin'qi'qin'jin'xiu 劲气侵襟袖
'jin'qi'yun'cen 近憩云岑
'jin'ri'cong'zi'yi 今日从兹役
'jin'ri'fu'he'hui 今日复何悔
'jin'ri'shi'fu'lai 今日始复来
'jin'ri'tian'qi'jia 今日天气佳
'jin'su'huang'cao'xiang 今宿荒草乡
'jin'wo'bu'wei'le 今我不为乐
'jin'ye'yu'zhi 今也遇之
'jin'yu'fa'qi'guang 瑾瑜发奇光
'jin'zhan'bai'li'yu 近瞻百里馀
'jin'zhao'fu'si'wen 今朝复斯闻
'jin'zhao'zhen'zhi'yi 今朝真止矣
'jin'zuo'qiu'lian'fang 今作秋莲房
'jing'bao'gu'qiong'jie 竟抱固穷节
'jing'bi'qing'yin 景庇清阴
'jing'ci'sui'yue'shi 竟此岁月驶
'jing'fei'zhou'chang'bi 荆扉昼常閇
