'bao'hu'ping'he 暴虎冯河
'bao'hu'yao'hai 保护要害
'bao'hui'tang'ji 宝绘堂记
'bao'ji 葆济
'bao'jia'chang'fei'han'hai'xing 宝铗常飞瀚海星
'bao'jian'ji 抱箭集
'bao'jian'yu'wang 暴见於王
'bao'jiao'fei'zun'kong 保教非尊孔
'bao'jin'ying'guang'ji 宝晋英光集
'bao'jing'nan'xun 宝镜难寻
'bao'jing'si'kong'shui 宝镜似空水
'bao'ju'yu'nei 包举宇内
'bao'jue'mei'yi'jiao'ao'xi 保厥美以骄傲兮
'bao'jun'dai'zuo 暴君代作
'bao'jun'wu'li 暴君污吏
'bao'lian'gua'qiu'leng 宝奁挂秋冷
'bao'lian'ru'yue'bu'qi'ren 宝奁如月不欺人
'bao'lian'xian'gua'xiao'yin'gou 宝帘闲挂小银钩
'bao'lin 宝林
'bao'lin'chan'shi'yu'lu 宝林禅师语录
'bao'ma'diao'an 宝马雕鞍
'bao'ma'diao'che'xiang'man'lu 宝马雕车香满路
'bao'ming'yue'er'chang'zhong 抱明月而长终
'bao'mo'ge'dai'zhi 宝谟阁待制
'bao'mo'ge'xue'shi 宝谟阁学士
'bao'mo'ge'zhi'xue'shi 宝谟阁直学士
'bao'ning 宝宁
'bao'ning'yuan'shen 苞凝元神
'bao'qi'jing'zhu'yao'seng'qu 宝气竟逐妖僧去
'bao'qi'min'shen 暴其民甚
'bao'qin'kan'he'qu 抱琴看鹤去
'bao'qing'kuai'ji'xu'zhi 宝庆会稽续志
'bao'ren'zhi'qian'zhe 暴人之前者
'bao'se'zong'zhu'xian 宝瑟縦朱弦
'bao'shan'ying'gui'jiu'hua'zhang 宝扇迎归九华帐
'bao'shan'zhong'xun'ming'yue'ying 宝扇重寻明月影
'bao'shen 保身
'bao'shen'chi'wang 葆申笞王
'bao'shen'yi'jing 抱神以静
'bao'shi'zhong'ri 饱食终日
'bao'shuang'ting'yuan'qie'sheng'yi 薄霜庭院怯生衣
